	Estimate	Std. Error	z value	Pr(>|z|)
pos_seq209	1.09380239943047	8.47935519444765	0.128995940652032	0.897360860883535
pos_seq210	0.484558107189613	8.40106863167722	0.057678151248822	0.954004997494783
pos_seq211	-0.00480988923816539	8.42425740227271	-0.000570957059890854	0.999544442201783
pos_seq212	0.320612511196773	8.40839814697752	0.0381300344717882	0.969584004670819
pos_seq213	-0.481733961328225	8.40097906789291	-0.0573425975038229	0.954272288255792
pos_seq214	-1.79656935846547	8.46954259119151	-0.212121178814773	0.83201249734414
pos_seq215	-1.69940561001187	8.408341220289	-0.202109496449938	0.839831123972699
pos_seq216	0.976019363773608	8.42771156738475	0.115810722278489	0.907802552549717
pos_seq217	-0.0771010004266855	8.40067911006844	-0.00917794852255193	0.992677159380418
pos_seq218	0.582976775664076	8.41899118746675	0.0692454431514249	0.944794251487617
pos_seq219	1.20502803454081	8.40280100096117	0.143407898676045	0.88596804521271
pos_seq220	1.09380239943071	8.44003633138702	0.129596882819455	0.896885369598331
pos_seq221	-1.10342217790593	8.42688927554367	-0.130940628484137	0.895822274470145
pos_seq222	0.582976775664456	8.41899118746225	0.069245443151507	0.944794251487551
pos_seq223	-0.561824895473221	8.4022318346263	-0.0668661501528551	0.946688260969396
pos_seq224	1.00992091544958	8.40332345231339	0.120181130856216	0.904339664823191
pos_seq225	0.527994641246693	8.40227872218105	0.0628394580452144	0.949894344965315
pos_seq226	-1.6142478016719	8.41833267897633	-0.191753861866646	0.84793501309485
pos_seq227	-0.0832815046794138	8.40286586443373	-0.00991108343546385	0.992092229009057
pos_seq228	1.78694957998707	8.4695425911881	0.210985370313415	0.83289868720215
pos_seq229	0.125243239010343	8.40363131617348	0.0149034666441521	0.988109194248207
pos_seq230	0.819365553728285	8.40395048310212	0.0974976655771341	0.922331187999509
pos_seq231	0.652261234848229	8.401243497333	0.0776386537368297	0.93811549392862
pos_seq232	-0.29249196169037	8.4351085867518	-0.0346755419544638	0.972338463888647
pos_seq233	0.28287218321404	8.43510858675034	0.033535096828317	0.973247878341074
pos_seq234	1.78694957999077	8.46954259119839	0.210985370313597	0.832898687202008
pos_seq235	0.87065884811628	8.41734481965273	0.103436281484332	0.917616718104412
pos_seq236	-14.570877729954	623.587440829697	-0.0233662142242107	0.981358154787197
pos_seq237	0.653765947256787	8.40140849012943	0.077816231412254	0.93797423480081
pos_seq238	1.78694957999039	8.41783876380865	0.212281279094241	0.831887599727958
pos_seq239	-0.00480988923773335	8.45971860609619	-0.000568563738546489	0.999546351795623
pos_seq240	0.950701555789293	8.41696484289022	0.112950638803291	0.91006968921075
pos_seq241	0.0550882523431576	8.40195719599384	0.00655659759483473	0.994768629489584
pos_seq242	0.465193740007742	8.40228806706422	0.0553651262959236	0.955847578388836
pos_seq243	0.847401985952152	8.40199405736094	0.10085724652587	0.919663782314854
pos_seq244	-0.419753741300632	8.40335056208149	-0.049950759307209	0.96016162768028
pos_seq245	-0.515635513003887	8.40505745070081	-0.0613482437244844	0.951081870192084
pos_seq246	0.20676009668229	8.40082784808214	0.0246118716418516	0.980364549967928
pos_seq247	1.86699228766437	8.43472941023239	0.221345842511494	0.824823157910323
pos_seq248	0.856960003757509	8.40139545830568	0.102002102866175	0.918755005946058
pos_seq249	0.646952075159176	8.40297484733961	0.0769908379963795	0.938630833553846
pos_seq250	0.572284495971567	8.40076704857798	0.0681228860010395	0.94568781227902
pos_seq251	0.194803164666246	8.40178962156671	0.0231859131733318	0.981501975247343
pos_seq252	-0.043031102058119	8.40204706824906	-0.00512150214210671	0.995913650376714
pos_seq253	0.887465966431973	8.40124297174491	0.105635079168249	0.915871891301218
pos_seq254	1.25202640464508	8.40271299188138	0.149002638297271	0.881551551146398
pos_seq255	-0.169112940529246	8.40445353300838	-0.0201218246808144	0.983946190091345
pos_seq256	1.71497608036542	8.40636735611193	0.204009176343992	0.838346328028788
pos_seq257	1.00864459109007	8.4021853437595	0.120045505999129	0.904447100005723
pos_seq258	1.57759935080885	8.40530527146283	0.187690904715266	0.851118960546064
pos_seq259	0.249320649042946	8.40106874454188	0.0296772537666624	0.976324452794726
pos_seq260	0.941786192131548	8.40370368350772	0.112067991400007	0.910769496675176
pos_seq261	-0.501842190871527	8.40184189467404	-0.0597300207695705	0.952370661297139
pos_seq262	0.825393537789948	8.40101527101059	0.0982492604957089	0.921734367424786
pos_seq263	-0.152193394670498	8.40100830912844	-0.0181160866732064	0.985546244748183
pos_seq264	-0.495245557300873	8.40141195989948	-0.0589478958613997	0.952993608969885
pos_seq265	0.804409462574725	8.40185388835381	0.0957419009261461	0.923725561609656
pos_seq266	0.400655218870171	8.41701550745144	0.0476006273857376	0.962034532016546
pos_seq267	0.684470951239063	8.40063178933839	0.081478508807844	0.935061415531034
pos_seq268	1.22163577094067	8.40402433959066	0.145363188108065	0.884424127541607
